Municipio,Categoria,Nome,Endereco,Latitude,Longitude
João Pessoa,Educação,ECI Liceu Paraibano,"Av. Pres. Getúlio Vargas, S/N - Centro, João Pessoa - PB, 58013-240",-7.120851826187558,-34.87604226278794
João Pessoa,Educação,ECIT PROFESSOR OLÍVIO PINTO,"R. Ulisses Alves Pequeno, S/N - Valentina de Figueiredo, João Pessoa - PB, 58064-580",-7.207044247445005,-34.843475357671345
João Pessoa,Educação,Escola Estadual Prof. Adélia de França,"R. João Raimundo de Lucena, S/N - Valentina de Figueiredo, João Pessoa - PB, 58063-620",-7.205148370639144,-34.84846890369938
João Pessoa,Educação,EEEFM Dr. João Navarro Filho,"RUA PROFESSORA MARIA ALEXANDRINA, R. Egídio de Oliveira Lima, 051 - Valentina de Figueiredo, PB, 58064-375",-7.202132460217286,-34.85228239230539
João Pessoa,Educação,EEEF PROF TERCIA BONAVIDES LINS,"RUA VEREADOR FRANCISCO L. CAVALCANTI, 315 - Valentina de Figueiredo, João Pessoa - PB, 58064-280",-7.199401415778693,-34.83917873278438
João Pessoa,Educação,EEEFM PROF CELESTIN MALZAC,"R. Profa. Maria Zenaide Brasilino - Conj. Valentina Figueredo I, João Pessoa - PB, 58063-300",-7.199554715792917,-34.8518880327843
João Pessoa,Educação,EEEF PROFª RITA DE MIRANDA HENRIQUES,"R. Francisco Porfírio Ribeiro, S/N - Mangabeira IV, João Pessoa - PB, 58057-100",-7.188376059262844,-34.83942167511321
João Pessoa,Educação,EEEF Borges da Fonseca,"Av. Cel. Calixto, 58033-455 - Cidade Verde, João Pessoa - PB",-7.180838558740691,-34.83466073278448
João Pessoa,Educação,ECITE JOAO ROBERTO BORGES DE SOUZA,"R. Osório Milanês Filho, SN - Mangabeira, João Pessoa - PB, 58056-280",-7.178029013796411,-34.839407632784685
João Pessoa,Educação,EEEFM PROFESSORA MARIA JACY COSTA,"R. Dráuzio Férrer, 77 - Mangabeira II, João Pessoa - PB, 58057-360",-7.180122969289863,-34.84352576531973
João Pessoa,Educação,Escola Estadual Professora Maria Bronzeado Machado,"Mangabeira II, João Pessoa - PB, 58057-000",-7.1808103140540585,-34.84580695977073
João Pessoa,Educação,EEEM CON LUIZ GONZAGA DE OLIVEIRA,"R. Janduí Dantas do Nascimento, S/N - Mangabeira I, João Pessoa - PB, 58056-140",-7.171432058089867,-34.83825110394878
